Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019136111019,2,1,1,1,56,9,3,0,0,0,0,0,9,1,1
2019136111467,2,1,1,1,50,8,3,0,0,0,0,0,9,1,1
2019136111467,2,2,2,2,46,8,3,0,0,1,0,0,9,1,1
2019136121066,2,1,1,1,20,4,3,0,0,0,0,0,19,1,1
2019136131015,1,1,1,2,52,8,3,0,0,0,0,0,9,1,10
2019136131015,2,2,2,2,38,7,3,0,0,1,0,0,9,1,3
2019136131184,1,1,3,1,7,2,3,5,1,0,0,0,0,-1,-1
2019136141369,1,1,3,1,64,9,3,5,2,0,0,0,0,1,4
2019136141408,2,1,1,1,58,9,3,0,0,0,0,0,9,1,6
2019136161108,2,1,1,1,58,9,3,0,0,0,0,0,9,1,2
2019136171266,1,1,3,2,40,7,2,4,3,0,0,0,0,1,2
2019136171275,1,1,1,1,68,10,3,0,0,0,0,0,9,1,1
2019136171275,2,2,1,1,18,4,3,0,0,0,0,0,2,1,2
2019136180892,1,1,3,1,59,9,2,5,3,0,0,0,0,-1,-1
2019136180985,1,1,3,1,12,3,2,5,1,0,0,0,0,-1,-1
2019136190232,1,1,3,1,15,3,3,5,1,0,0,0,0,1,3
20191361A0253,1,1,1,1,18,4,3,0,0,0,0,0,2,1,5
20191361A1165,2,1,1,1,26,6,3,0,0,0,0,0,9,1,1
20191361A1322,2,1,1,1,38,7,3,0,0,0,0,0,1,-1,-1
20191361A1552,2,1,1,2,57,9,3,0,0,0,0,0,9,1,6
20191361B0976,2,1,1,1,42,7,3,0,0,0,0,0,9,-1,-1
20191361B1771,1,1,2,2,5,1,3,0,0,2,0,0,9,1,1
20191361C1579,1,1,3,2,18,4,3,1,9,0,0,0,0,1,1
20191361D0147,2,1,1,1,34,6,3,0,0,0,0,0,9,1,1
20191361D1101,1,1,1,2,20,4,3,0,0,0,0,0,9,1,4
20191361D1101,1,2,2,2,9,2,3,0,0,2,0,0,9,1,4
20191361D1101,1,3,2,2,74,10,3,0,0,1,0,0,9,1,2
20191361D1104,2,1,1,1,42,7,3,0,0,0,0,0,9,1,1
20191361E1186,1,1,1,1,54,8,3,0,0,0,0,0,9,1,1
20191361E1616,1,1,2,2,37,7,3,0,0,1,0,0,9,1,1
20191361F0282,1,1,1,2,38,7,3,0,0,0,0,0,9,1,7
20191361F0282,2,2,1,1,29,6,3,0,0,0,0,0,9,1,6
20191361F0282,2,3,2,1,58,9,3,0,0,1,0,0,9,1,2
20191361F0304,2,1,2,1,38,7,3,0,0,1,0,0,9,1,8
20191361F1075,2,1,1,1,66,10,3,0,0,0,0,0,9,2,9
20191361F1162,2,1,1,1,50,8,3,0,0,0,0,0,9,1,2
20191361F1162,2,2,2,2,40,7,3,0,0,1,0,0,9,1,2
20191361F1186,2,1,1,2,28,6,3,0,0,0,0,0,9,1,3
20191361F1200,1,1,3,1,13,3,3,5,3,0,0,0,0,1,1
20191361F1395,1,1,1,2,37,7,3,0,0,0,0,0,9,1,1
20191361G1247,2,1,1,2,45,7,3,0,0,0,0,0,9,1,3
20191361G1702,1,2,1,1,45,7,3,0,0,0,0,0,9,1,3
20191361G1702,1,3,2,1,19,4,3,0,0,1,0,0,9,1,3
20191361G1702,2,1,1,2,38,7,3,0,0,0,0,0,9,1,1
20191361H0253,1,1,3,2,18,4,3,5,3,0,0,0,0,1,1
20191361H0349,1,1,3,2,55,8,3,5,1,0,0,0,0,1,1
20191361H1209,1,1,3,2,72,10,2,5,1,0,0,0,0,1,3
20191361I1326,1,1,1,1,18,4,3,0,0,0,0,0,9,1,3
20191361J0797,2,1,1,1,41,7,3,0,0,0,0,0,9,1,1
20191361J0959,2,1,1,1,35,6,3,0,0,0,0,0,9,1,2
20191361K0153,1,1,3,1,19,4,3,5,1,0,0,0,0,1,8
20191361K0844,2,1,1,1,70,10,3,0,0,0,0,0,3,1,10
20191361K0931,2,1,1,1,44,7,3,0,0,0,0,0,9,-1,-1
20191361K1099,1,1,1,1,45,7,3,0,0,0,0,0,9,1,3
20191361K1099,1,2,2,1,7,2,3,0,0,1,0,0,9,-1,-1
20191361L1140,1,1,3,1,13,3,3,5,3,0,0,0,0,1,1
20191361M0349,1,1,2,2,77,11,3,0,0,1,0,0,9,1,6
20191361M1294,1,1,1,1,55,8,1,0,0,0,0,0,19,3,6
20191361N0165,1,1,1,1,20,4,3,0,0,0,0,0,9,1,2
20191361O0668,2,1,1,2,45,7,3,0,0,0,0,0,9,2,10
20191361O1427,1,1,3,1,15,3,3,9,8,0,0,0,0,1,7
20191361P1623,2,1,1,1,58,9,3,0,0,0,0,0,5,1,1
20191361P1623,2,2,2,2,26,6,3,0,0,0,0,0,5,1,4
20191361Q0285,1,1,1,1,36,7,2,0,0,0,0,0,9,1,4
20191361Q1093,1,1,1,1,19,4,2,0,0,0,0,0,3,1,1
20191361Q1770,1,1,3,2,32,6,3,5,1,0,0,0,0,1,1
20191361R1085,2,1,1,2,36,7,3,0,0,0,0,0,9,1,1
20191361R1242,1,1,3,1,41,7,3,5,1,0,0,0,0,1,2
20191361R1391,1,1,1,1,62,9,3,0,0,0,0,0,9,2,10
20191361R1391,1,2,2,2,61,9,3,0,0,1,0,0,9,2,10
20191361R1391,2,3,1,1,21,5,3,0,0,0,0,0,9,2,4
20191361R1401,1,1,3,2,17,4,3,5,3,0,0,0,0,1,3
20191361S1383,2,1,1,2,22,5,3,0,0,0,0,0,9,1,3
20191361S1383,2,2,2,1,23,5,3,0,0,1,0,0,9,1,3
20191361T1124,2,1,1,2,38,7,3,0,0,0,0,0,9,1,4
20191361U0936,1,1,3,1,72,10,2,4,4,0,0,0,0,1,4
20191361V0233,1,1,1,1,24,5,3,0,0,0,0,0,4,1,7
20191361V1101,1,1,1,1,19,4,3,0,0,0,0,0,3,1,1
20191361V1420,1,1,2,1,2,1,3,0,0,2,0,0,9,1,1
2019136210374,1,1,1,1,56,9,2,0,0,0,0,0,19,1,4
2019136211389,2,1,1,1,59,9,3,0,0,0,0,0,9,1,8
2019136220607,1,1,1,2,60,9,2,0,0,0,0,0,9,1,2
2019136230845,1,1,2,1,19,4,1,0,0,2,0,0,9,1,3
2019136230845,1,2,1,1,32,6,2,0,0,0,0,0,9,1,5
2019136230845,1,3,2,1,21,5,2,0,0,1,0,0,9,1,3
2019136230845,3,4,1,1,39,7,3,0,0,0,0,0,9,1,7
2019136231041,1,1,3,2,44,7,3,5,3,0,0,0,0,1,1
2019136231041,1,2,3,2,21,5,3,5,3,0,0,0,0,1,1
2019136241610,3,1,2,1,35,6,3,0,0,1,0,0,9,1,1
2019136251200,1,1,2,1,25,5,3,0,0,1,0,0,9,-1,-1
2019136260259,1,1,1,1,37,7,3,0,0,0,0,0,19,1,7
2019136260939,2,1,1,2,21,5,3,0,0,0,0,0,19,2,7
2019136261374,1,1,1,1,34,6,2,0,0,0,0,0,5,-1,6
2019136261374,1,2,3,1,49,8,2,4,4,0,0,0,0,1,1
2019136261720,1,1,2,1,17,4,3,0,0,2,0,0,9,2,8
