,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
74571,2019136111019,1,9,0,9,0,8,0,0,0,0,1,1,2,2,39,7,-1,-1,-1,2,1,2
74572,2019136111019,2,9,0,18,0,8,0,7,0,0,1,1,2,1,56,9,-1,-1,-1,1,1,1
74575,2019136111467,1,9,0,18,0,0,0,0,0,0,1,1,6,1,54,8,1986,2,12,2,1,2
74576,2019136111467,2,9,0,18,0,0,0,0,0,0,2,1,6,1,50,8,1339,1,16,1,1,1
74577,2019136111467,3,9,0,18,0,0,0,0,0,0,2,1,6,1,28,6,1329,1,8,3,1,3
74585,2019136121066,1,9,0,18,0,1,0,0,0,0,1,1,6,1,46,8,1968,2,1,8,2,8
74586,2019136121066,2,19,0,18,0,1,0,0,0,1,2,1,1,1,20,4,1248,2,9,1,1,1
74596,2019136131015,1,9,0,18,0,1,0,0,0,0,1,1,6,2,52,8,1997,2,10,10,1,10
74597,2019136131015,2,9,0,9,0,6,0,0,0,0,3,1,6,2,27,6,2993,2,8,8,1,8
74598,2019136131184,1,9,0,18,0,0,0,0,0,0,1,1,2,2,33,6,999,1,2,3,1,3
74603,2019136141369,1,9,0,18,0,0,0,0,0,0,4,1,6,2,28,6,1490,1,11,1,1,1
74606,2019136141408,1,9,0,4,0,0,0,0,0,0,1,1,6,1,45,7,-1,-1,-1,5,1,5
74607,2019136141408,2,9,0,4,0,0,0,0,0,0,2,1,6,1,58,9,999,1,2,6,1,6
74608,2019136141408,3,21,1,4,0,0,0,0,0,0,2,1,1,1,22,5,-1,-1,-1,3,1,3
74619,2019136161108,1,9,0,4,0,1,0,0,0,0,1,1,6,1,40,7,1296,1,11,1,1,1
74620,2019136161108,2,9,0,18,0,1,0,0,7,10,4,1,6,1,58,9,1198,1,10,2,1,2
74638,2019136171266,1,9,0,18,0,0,0,0,0,0,1,1,2,2,18,4,1390,1,5,9,1,9
74639,2019136171275,1,9,0,9,0,7,0,0,0,0,1,1,6,1,68,10,1968,2,2,1,1,1
74640,2019136171275,2,2,0,18,0,8,0,0,0,0,4,1,6,1,18,4,49,1,8,2,1,2
74650,2019136180892,1,19,0,9,0,6,0,0,0,0,1,1,1,1,25,5,2402,2,11,6,2,6
74652,2019136180985,1,19,0,18,0,0,0,0,0,0,1,1,6,1,55,8,2143,2,7,-1,-1,-1
74656,2019136190232,1,9,0,18,0,6,0,0,0,0,1,1,6,1,39,7,2993,2,11,1,1,1
74664,20191361A0253,1,2,0,18,0,0,0,0,0,0,4,1,2,1,18,4,102,1,14,5,1,5
74673,20191361A1165,1,9,0,18,0,1,1,0,0,0,1,1,6,2,18,4,1968,2,9,3,1,3
74674,20191361A1165,2,9,0,3,0,1,0,0,0,0,3,1,6,1,26,6,2143,2,10,1,1,1
74675,20191361A1165,3,9,0,2,0,1,0,0,0,0,2,1,6,1,-1,-1,4163,1,12,-1,-1,-1
74678,20191361A1322,1,9,0,18,0,0,0,0,0,0,4,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
74679,20191361A1322,2,1,0,2,0,0,0,0,0,0,3,1,6,1,38,7,-1,-1,-1,-1,-1,-1
74680,20191361A1552,1,9,0,18,0,0,0,0,0,0,1,1,6,1,83,11,1598,1,13,8,2,8
74681,20191361A1552,2,9,0,2,0,0,0,0,0,0,2,1,6,2,57,9,999,1,4,6,1,6
74693,20191361B0976,1,9,0,7,0,8,0,0,0,0,3,1,6,1,25,5,-1,-1,-1,3,1,3
74694,20191361B0976,2,9,0,18,0,8,0,0,0,0,1,1,6,1,42,7,2776,2,16,-1,-1,-1
74699,20191361B1771,1,9,0,18,0,4,0,0,0,0,1,1,6,2,34,6,1198,1,4,1,1,1
74700,20191361B1771,2,9,0,9,0,8,0,0,0,0,1,1,1,1,25,5,1896,2,9,1,1,1
74713,20191361C1579,1,9,0,4,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
74714,20191361D0147,1,9,0,18,0,8,0,0,0,0,1,1,6,2,-1,-1,1686,2,8,-1,-1,-1
74715,20191361D0147,2,9,0,18,0,8,0,0,0,0,3,1,1,1,34,6,1968,2,1,1,1,1
74720,20191361D1101,1,9,0,18,0,0,0,0,0,0,2,1,6,2,20,4,998,1,1,4,1,4
74721,20191361D1101,2,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1086,1,11,-1,-1,-1
74722,20191361D1104,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1398,1,8,4,1,4
74723,20191361D1104,2,9,0,4,0,0,0,0,0,0,2,1,6,1,42,7,2401,2,15,1,1,1
74745,20191361E1186,1,9,0,9,0,8,0,0,0,0,4,1,6,1,54,8,-1,-1,-1,1,1,1
74746,20191361E1186,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
74749,20191361E1616,1,9,0,3,0,1,0,0,0,0,2,1,6,1,37,7,1398,1,16,1,1,1
74750,20191361E1616,2,9,0,3,0,1,0,0,0,0,2,1,6,1,53,8,1997,1,7,3,1,3
74751,20191361E1616,3,9,0,18,0,1,0,0,0,0,1,1,2,1,26,6,5204,1,1,1,1,1
74755,20191361F0282,1,9,0,18,0,8,0,0,0,0,1,1,6,2,38,7,1368,1,2,7,1,7
74756,20191361F0282,2,9,0,18,0,6,0,0,0,0,1,1,6,1,29,6,2497,2,18,6,1,6
74757,20191361F0282,3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,1364,1,14,-1,-1,-1
74758,20191361F0304,1,9,0,7,0,6,0,0,0,0,1,1,6,2,25,5,998,1,1,-1,-1,-1
74759,20191361F0304,2,9,0,13,0,1,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,8,1,8
74764,20191361F1075,1,9,0,17,0,0,0,0,0,0,1,1,6,1,50,8,4172,1,14,1,1,1
74765,20191361F1075,2,9,0,16,0,0,0,0,0,0,1,1,6,1,66,10,1968,2,5,9,2,9
74770,20191361F1162,1,9,0,9,0,2,0,0,0,0,1,1,6,1,22,5,1242,1,4,6,1,6
