,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Vehicle_Reference_x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile,Vehicle_Reference_y,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
0,2019136111019,417000.0,433017.0,-1.743423,53.793206,13,3,2,1,01/01/2019,3,08:00,200,E08000032,3,650,6,30,6,4,3,647,0,0,4,1,1,0,0,1,1,E01010606,2,1,1,1,56,9,3,0,0,0,0,0,9,1,1,1,9,0,9,0,8,0,0,0,0,1,1,2,2,39,7,-1,-1,-1,2,1,2
1,2019136111019,417000.0,433017.0,-1.743423,53.793206,13,3,2,1,01/01/2019,3,08:00,200,E08000032,3,650,6,30,6,4,3,647,0,0,4,1,1,0,0,1,1,E01010606,2,1,1,1,56,9,3,0,0,0,0,0,9,1,1,2,9,0,18,0,8,0,7,0,0,1,1,2,1,56,9,-1,-1,-1,1,1,1
2,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,1,1,1,50,8,3,0,0,0,0,0,9,1,1,1,9,0,18,0,0,0,0,0,0,1,1,6,1,54,8,1986,2,12,2,1,2
3,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,1,1,1,50,8,3,0,0,0,0,0,9,1,1,2,9,0,18,0,0,0,0,0,0,2,1,6,1,50,8,1339,1,16,1,1,1
4,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,1,1,1,50,8,3,0,0,0,0,0,9,1,1,3,9,0,18,0,0,0,0,0,0,2,1,6,1,28,6,1329,1,8,3,1,3
5,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,2,2,2,46,8,3,0,0,1,0,0,9,1,1,1,9,0,18,0,0,0,0,0,0,1,1,6,1,54,8,1986,2,12,2,1,2
6,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,2,2,2,46,8,3,0,0,1,0,0,9,1,1,2,9,0,18,0,0,0,0,0,0,2,1,6,1,50,8,1339,1,16,1,1,1
7,2019136111467,419018.0,433809.0,-1.712742,53.800255,13,3,3,2,02/01/2019,4,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010618,2,2,2,2,46,8,3,0,0,1,0,0,9,1,1,3,9,0,18,0,0,0,0,0,0,2,1,6,1,28,6,1329,1,8,3,1,3
8,2019136121066,418157.0,430906.0,-1.725984,53.774194,13,3,2,1,02/01/2019,4,15:45,200,E08000032,3,650,3,40,5,4,6,0,0,0,1,1,1,0,0,1,1,E01010615,2,1,1,1,20,4,3,0,0,0,0,0,19,1,1,1,9,0,18,0,1,0,0,0,0,1,1,6,1,46,8,1968,2,1,8,2,8
9,2019136121066,418157.0,430906.0,-1.725984,53.774194,13,3,2,1,02/01/2019,4,15:45,200,E08000032,3,650,3,40,5,4,6,0,0,0,1,1,1,0,0,1,1,E01010615,2,1,1,1,20,4,3,0,0,0,0,0,19,1,1,2,19,0,18,0,1,0,0,0,1,2,1,1,1,20,4,1248,2,9,1,1,1
10,2019136131015,415321.0,438238.0,-1.768652,53.840183,13,3,2,2,03/01/2019,5,15:11,200,E08000032,3,6038,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,E01010571,1,1,1,2,52,8,3,0,0,0,0,0,9,1,10,1,9,0,18,0,1,0,0,0,0,1,1,6,2,52,8,1997,2,10,10,1,10
11,2019136131015,415321.0,438238.0,-1.768652,53.840183,13,3,2,2,03/01/2019,5,15:11,200,E08000032,3,6038,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,E01010571,1,1,1,2,52,8,3,0,0,0,0,0,9,1,10,2,9,0,9,0,6,0,0,0,0,3,1,6,2,27,6,2993,2,8,8,1,8
12,2019136131015,415321.0,438238.0,-1.768652,53.840183,13,3,2,2,03/01/2019,5,15:11,200,E08000032,3,6038,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,E01010571,2,2,2,2,38,7,3,0,0,1,0,0,9,1,3,1,9,0,18,0,1,0,0,0,0,1,1,6,2,52,8,1997,2,10,10,1,10
